mood,id,title,vote_count,vote_average,popularity,release_date,genre_ids
泣いた,938086,위험한 사촌동생,3,8.7,110.6453,2021-11-23,"[18, 10751]"
泣いた,1119878,アイス･ロード：リベンジ,430,6.363,95.7778,2025-09-03,"[28, 53, 18]"
泣いた,1188808,Tuhog,15,5.9,90.0671,2023-11-03,"[18, 10749]"
泣いた,1289888,フレンチ・ラヴァー,49,5.286,93.2878,2025-09-26,"[10749, 35]"
泣いた,1319965,オール・オブ・ユー,26,6.519,98.599,2025-09-26,"[10749, 18]"
泣いた,1051486,Stockholm Bloodbath,35,6.314,79.9779,2024-01-19,"[28, 36, 18, 12, 10752]"
泣いた,1265344,スワイプ：マッチングの法則,73,6.972,75.9923,2025-09-19,"[36, 18]"
泣いた,1284120,Den stygge stesøsteren,415,7.2,73.7522,2025-03-07,"[27, 35, 14, 18]"
泣いた,993234,Hranice lásky,29,6.0,71.4949,2022-11-03,"[18, 10749]"
泣いた,157336,インターステラー,37930,8.5,64.2154,2014-11-22,"[12, 18, 878]"
泣いた,715287,새엄마의 욕망,30,7.2,60.6289,2020-05-29,"[18, 10749]"
泣いた,1337395,Kiskisan,5,6.8,54.0238,2024-09-27,[18]
泣いた,1371189,Ruth & Boaz,14,6.929,59.6997,2025-09-25,"[10749, 18, 10402]"
泣いた,994682,セクシー・オーラル 浮気な唇,2,6.0,58.6849,1984-02-17,[18]
泣いた,1506456,Maalikaya,5,7.8,53.1671,2025-07-25,"[18, 10749]"
泣いた,1403735,లైలా,5,5.8,54.8233,2025-02-14,"[35, 10749]"
泣いた,828769,못말리는 사촌동생,2,2.0,55.2873,2021-02-01,[18]
泣いた,155,ダークナイト,34453,8.524,55.1193,2008-07-28,"[18, 28, 80, 53]"
泣いた,1339658,"Oh, Hi!",52,6.337,57.9594,2025-07-25,"[10749, 35]"
泣いた,259872,Des jours plus belles que la nuit,111,6.1,44.9464,2009-10-10,[10749]
泣いた,1011477,ベスト・キッド：レジェンズ,867,7.118,48.3566,2025-08-29,"[28, 12, 18]"
泣いた,1246049,Dracula,145,7.148,47.5375,2025-07-30,"[27, 14, 10749]"
泣いた,1010581,俺の過ち,3805,7.776,45.1286,2023-06-08,"[10749, 18]"
泣いた,986206,Night Carnage,50,5.94,45.3116,2025-07-29,"[28, 27, 10749]"
泣いた,1278950,The Ritual,176,5.8,45.2971,2025-04-18,"[27, 18, 53]"
泣いた,1321439,パリス? で恋に落ちる方法,158,6.592,42.6475,2025-09-12,"[10749, 35]"
泣いた,195757,The Ultimate Life,81,7.0,42.1398,2013-09-06,"[18, 10749]"
泣いた,1083420,Adulthood,22,5.568,46.5525,2025-09-19,"[35, 80, 18, 9648]"
泣いた,1185528,射雕英雄传：侠之大者,65,6.777,42.5194,2025-01-29,"[28, 18, 36]"
泣いた,1470086,Ligaw,4,7.2,39.0379,2025-05-09,"[18, 10749]"
泣いた,460229,Kiss and Kill,64,5.3,38.8382,2017-08-08,"[9648, 53, 10749]"
泣いた,1242434,天国と地獄 Highest 2 Lowest,271,5.8,37.1582,2025-09-05,"[53, 80, 18]"
泣いた,1241921,ビューティフル・ジャーニー ふたりの時空旅行,32,6.2,33.1492,2025-12-19,"[10749, 14, 18]"
泣いた,1151272,Sirāt,138,7.014,33.7675,2025-06-06,"[18, 53]"
泣いた,1355666,告白ヒストリー,102,8.471,34.2194,2025-08-29,"[10749, 18, 35]"
泣いた,1234720,부부 교환 - 무삭제,4,9.8,32.4218,2023-03-16,[10749]
泣いた,278,ショーシャンクの空に,28939,8.713,34.0954,1995-06-03,"[18, 80]"
泣いた,1312946,君を見つけるための地図,213,6.589,31.6617,2025-08-19,"[10749, 18]"
泣いた,1136867,Materialists,687,6.571,33.3952,2025-06-12,"[10749, 18]"
泣いた,1088166,Relay,91,7.209,30.1398,2025-08-21,"[53, 18]"
泣いた,687209,여자 전쟁: 이사 온 남자,1,10.0,33.0787,2016-10-17,[18]
泣いた,1024592,God's Not Dead: In God We Trust,17,5.176,34.866,2024-09-12,[18]
